name,params,desc
issues.listEvents,!owner;!repo;!issue_number;per_page;page,"List events for an issue"
issues.listEventsForRepo,!owner;!repo;per_page;page,"List events for a repository"
issues.listEventsForTimeline,!owner;!repo;!issue_number;per_page;page,"List events for an issue"
issues.listForAuthenticatedUser,filter;state;labels;sort;direction;since;per_page;page,"List all issues across owned and member repositories assigned to the authenticated user"
issues.listForOrg,!org;filter;state;labels;sort;direction;since;per_page;page,"List all issues for a given organization assigned to the authenticated user"
issues.listForRepo,!owner;!repo;milestone;state;assignee;creator;mentioned;labels;sort;direction;since;per_page;page,"List issues for a repository"
issues.listLabelsForMilestone,!owner;!repo;!milestone_number;per_page;page,"Get labels for every issue in a milestone"
issues.listLabelsForRepo,!owner;!repo;per_page;page,"List all labels for this repository"
issues.listLabelsOnIssue,!owner;!repo;!issue_number;per_page;page,"List labels on an issue"
issues.listMilestonesForRepo,!owner;!repo;state;sort;direction;per_page;page,"List milestones for a repository"
issues.lock,!owner;!repo;!issue_number;lock_reason,"Lock an issue"
issues.removeAssignees,!owner;!repo;!issue_number;assignees,"Remove assignees from an issue"
issues.removeLabel,!owner;!repo;!issue_number;!name,"Remove a label from an issue"
issues.removeLabels,!owner;!repo;!issue_number,"Remove all labels from an issue"
issues.replaceLabels,!owner;!repo;!issue_number;labels,"Replace all labels for an issue"
issues.unlock,!owner;!repo;!issue_number,"Unlock an issue"
issues.update,!owner;!repo;!issue_number;title;body;assignee;state;milestone;labels;assignees,"Edit an issue"
issues.updateComment,!owner;!repo;!comment_id;!body,"Edit a comment"
issues.updateLabel,!owner;!repo;!name;new_name;color;description,"Update a label"
issues.updateMilestone,!owner;!repo;!milestone_number;title;state;description;due_on,"Update a milestone"
licenses.get,!license,"Get an individual license"
licenses.getForRepo,!owner;!repo,"Get the contents of a repository's license"
licenses.listCommonlyUsed,,"List commonly used licenses"
markdown.render,!text;mode;context,"Render an arbitrary Markdown document"
markdown.renderRaw,!data,"Render a Markdown document in raw mode"
meta.get,,"Get"
migrations.cancelImport,!owner;!repo,"Cancel an import"
migrations.deleteArchiveForAuthenticatedUser,!migration_id,"Delete a user migration archive"
migrations.deleteArchiveForOrg,!org;!migration_id,"Delete an organization migration archive"
